sim,surplus_pnl_gbp
578,-1006010.467149
579,37310898.360886
580,-1310540.024233
581,-6048591.461806
582,-19861067.315787
583,2741160.547062
584,-58479376.036479
585,-15997630.028149
586,8417758.794292
587,-3689406.715543
588,-1759361.841131
589,-51611368.423547
590,36451305.696034
591,-12158307.190012
592,-67304039.883952
593,28178427.912338
594,-47190795.941803
595,-30313845.363578
596,11658350.261531
597,13883875.743484
598,2219741.381791
599,-1810065.438511
600,-47159830.134442
601,3933661.563876
602,-28269250.508216
603,30618749.385803
604,-46542214.061418
605,17890419.403250
606,18679779.801648
607,-13372394.034676
608,-12720190.152001
609,-20152904.314097
610,-13715688.519134
611,-8995244.497759
612,1600824.807505
613,-19973070.794812
614,7198099.984184
615,17666048.923405
616,26074248.917337
617,-1770003.622070
618,-3987057.905315
619,55533787.318638
620,20595293.260416
621,-45308713.298190
622,-12680478.093581
623,23692934.201962
624,16517556.988503
625,-37658650.026649
626,2121138.453125
627,-12972277.053797
628,19480243.459969
629,17207628.062883
630,18538393.086622
631,35202453.825047
632,-26137332.361881
633,-14174071.724025
634,30609360.966624
635,33310489.228701
636,-3733040.393960
637,24032227.807364
638,-18822911.211669
639,-14761629.193738
640,-26557731.031938
641,-7389578.596129
642,-17618114.085648
643,-2749653.719054
644,5753276.429309
645,-19256600.533761
646,-11891207.672777
647,9564230.514058
648,10490885.153750
649,-25104229.110628
650,53280272.798618
651,35177937.705470
652,-11564043.465057
653,47504052.552010
654,6603338.673496
655,-51576486.922766
656,-17583623.337600
657,-39714103.727442
658,8890615.263445
659,13117658.263500
660,-22774492.980773
661,-1765343.157117
662,-13909370.554737
663,30833769.152553
664,5771694.712898
665,-14737905.445664
666,44363072.594890
667,13875570.272866
668,-8733749.854626
669,9992190.570852
670,21832838.752939
671,-15564232.236011
672,5693237.414494
673,-10593305.823317
674,9165940.184845
675,29984299.197251
676,36222738.829678
677,-32171577.570048
678,-47139216.168795
679,17442923.128359
680,-23148338.212572
681,2005096.047193
682,-17695831.785264
683,-32638113.285929
684,-36460317.191843
685,-17192542.183676
686,-33790179.843356
687,-28696789.067372
688,10060675.466108
689,-26046174.212245
690,15231371.266170
691,10054034.064360
692,6690215.405417
693,-34117389.927021
694,52697838.430531
695,-36287912.020817
696,24751674.168870
697,17435335.199670
698,-18058650.243795
699,-40764458.929985
700,4178234.843563
701,-24605516.043556
702,9459778.983531
703,-5762889.547094
704,10843762.691960
705,7013144.586943
706,15776444.186637
707,-21665683.367208
708,-25412860.860629
709,11129206.988091
710,-5299686.303201
711,-28755850.972467
712,-10093935.098042
713,-12735404.227996
714,5983904.013612
715,-8404169.773298
716,2889344.571512
717,-10591886.546784
718,-30086868.331680
719,14116574.113089
720,59680605.882985
721,-2028656.147779
722,8688582.415375
723,-10352166.065624
724,32384424.304364
725,-13348739.722341
726,12046792.580962
727,4426220.968765
728,-17082387.509706
